trade_id,account_id,related_group,symbol,side,volume,open_time,close_time,hold_seconds
N1395,ACC-4,ACC-4,USDJPY,BUY,1.22,2026-09-18 08:21:34.000000,2026-09-18 08:25:19.000000,225.0
N1141,ACC-10,ACC-10,GBPUSD,SELL,1.08,2026-09-18 08:06:07.000000,2026-09-18 09:11:54.000000,3947.0
N1052,ACC-7,ACC-7,AUDUSD,BUY,1.23,2026-09-18 09:21:53.000000,2026-09-18 12:44:43.000000,12170.0
N1075,ACC-6,ACC-6,USDJPY,BUY,0.36,2026-09-18 09:40:57.000000,2026-09-18 10:22:42.000000,2505.0
N1161,ACC-4,ACC-4,USDJPY,SELL,0.37,2026-09-18 11:32:23.000000,2026-09-18 14:28:19.000000,10556.0
N1201,ACC-9,ACC-9,EURUSD,SELL,0.33,2026-09-18 09:46:44.000000,2026-09-18 10:57:51.000000,4267.0
N1352,ACC-3,ACC-3,GBPUSD,SELL,1.9,2026-09-18 12:53:24.000000,2026-09-18 15:08:13.000000,8089.0
N1170,ACC-8,ACC-8,EURUSD,BUY,0.4,2026-09-18 11:33:09.000000,2026-09-18 13:32:21.000000,7152.0
N1071,ACC-3,ACC-3,GBPUSD,SELL,1.62,2026-09-18 07:36:42.000000,2026-09-18 10:27:09.000000,10227.0
N1129,ACC-4,ACC-4,USDJPY,SELL,1.55,2026-09-18 09:11:55.000000,2026-09-18 10:52:32.000000,6037.0
N1336,ACC-8,ACC-8,USDJPY,BUY,1.13,2026-09-18 09:00:53.000000,2026-09-18 10:28:00.000000,5227.0
N1242,ACC-2,ACC-2,USDJPY,SELL,1.21,2026-09-18 09:01:47.000000,2026-09-18 12:23:04.000000,12077.0
N1050,ACC-9,ACC-9,GBPUSD,SELL,1.3,2026-09-18 12:08:10.000000,2026-09-18 13:51:17.000000,6187.0
N1373,ACC-5,ACC-5,USDJPY,SELL,0.17,2026-09-18 09:35:30.000000,2026-09-18 12:35:33.000000,10803.0
N1347,ACC-9,ACC-9,GBPUSD,SELL,1.82,2026-09-18 09:21:17.000000,2026-09-18 10:19:00.000000,3463.0
N1098,ACC-4,ACC-4,GBPUSD,BUY,1.89,2026-09-18 12:52:43.000000,2026-09-18 15:39:25.000000,10002.0
N1335,ACC-2,ACC-2,USDJPY,BUY,0.37,2026-09-18 07:57:27.000000,2026-09-18 08:25:33.000000,1686.0
N1155,ACC-2,ACC-2,AUDUSD,SELL,1.65,2026-09-18 08:39:57.000000,2026-09-18 11:55:10.000000,11713.0
N1224,ACC-5,ACC-5,AUDUSD,SELL,0.64,2026-09-18 12:43:16.000000,2026-09-18 13:53:44.000000,4228.0
N1021,ACC-1,ACC-1,GBPUSD,SELL,1.67,2026-09-18 11:08:51.000000,2026-09-18 14:07:06.000000,10695.0
N1090,ACC-3,ACC-3,EURUSD,SELL,1.75,2026-09-18 11:16:29.000000,2026-09-18 11:58:31.000000,2522.0
N1353,ACC-10,ACC-10,GBPUSD,SELL,1.9,2026-09-18 10:18:10.000000,2026-09-18 12:30:28.000000,7938.0
N1329,ACC-1,ACC-1,AUDUSD,BUY,0.49,2026-09-18 11:59:30.000000,2026-09-18 13:09:11.000000,4181.0
N1099,ACC-7,ACC-7,USDJPY,BUY,0.98,2026-09-18 11:07:25.000000,2026-09-18 14:40:42.000000,12797.0
N1066,ACC-9,ACC-9,AUDUSD,SELL,1.12,2026-09-18 10:52:24.000000,2026-09-18 13:32:52.000000,9628.0
N1053,ACC-5,ACC-5,AUDUSD,SELL,0.89,2026-09-18 09:54:17.000000,2026-09-18 11:18:44.000000,5067.0
N1043,ACC-4,ACC-4,GBPUSD,SELL,0.1,2026-09-18 10:41:23.000000,2026-09-18 11:57:56.000000,4593.0
N1107,ACC-1,ACC-1,AUDUSD,SELL,1.02,2026-09-18 12:12:04.000000,2026-09-18 15:42:18.000000,12614.0
N1117,ACC-3,ACC-3,USDJPY,BUY,0.68,2026-09-18 08:15:00.000000,2026-09-18 09:27:12.000000,4332.0
N1290,ACC-6,ACC-6,USDJPY,SELL,0.41,2026-09-18 07:06:53.000000,2026-09-18 07:19:47.000000,774.0
N1302,ACC-5,ACC-5,GBPUSD,SELL,0.96,2026-09-18 07:04:52.000000,2026-09-18 09:46:59.000000,9727.0
N1338,ACC-7,ACC-7,EURUSD,BUY,0.59,2026-09-18 11:47:01.000000,2026-09-18 15:03:07.000000,11766.0
N1384,ACC-10,ACC-10,AUDUSD,BUY,1.34,2026-09-18 12:42:56.000000,2026-09-18 16:39:07.000000,14171.0
N1263,ACC-9,ACC-9,AUDUSD,BUY,0.26,2026-09-18 12:57:41.000000,2026-09-18 15:40:29.000000,9768.0
